# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	410
#@/user_id	bebceec0-400a-43ad-bbbc-57dff6521139
a 	啊	c=6 d=4.31279 t=410
a a 	啊啊	c=1 d=1 t=127
ai 	唉	c=1 d=1 t=297
an niu 	按鈕	c=1 d=1 t=8
ba 	吧	c=1 d=1 t=173
ba 	把	c=0 d=0.1 t=253
ba zhao pian 	把照片	c=1 d=1 t=254
bai da 	白搭	c=1 d=1 t=159
ban ben 	版本	c=4 d=3.37944 t=89
ban gong shi 	辦公室	c=1 d=1.07558 t=237
ben lai 	本来	c=1 d=1 t=99
bi jiao 	比较	c=1 d=1 t=2
bu 	不	c=5 d=3.08757 t=308
bu cuo 	不錯	c=2 d=1.93239 t=239
bu hui 	不會	c=1 d=1 t=83
cai 	才	c=1 d=1 t=363
cha bu duo 	差不多	c=1 d=1 t=252
che piao 	車票	c=1 d=1 t=370
cheng 	成	c=1 d=1 t=292
cheng xu 	程序	c=1 d=1 t=246
chi 	吃	c=1 d=1 t=193
chi fan 	吃饭	c=1 d=1 t=110
chu fa 	出發	c=1 d=1 t=187
cun zai 	存在	c=1 d=1 t=70
cuo 	錯	c=1 d=1 t=267
da 	大	c=0 d=0.1 t=361
da dian hua 	打電話	c=1 d=1 t=209
da xi pai 	大洗牌	c=1 d=1 t=362
dai 	呆	c=1 d=1 t=179
dai 	帶	c=1 d=1 t=105
dang ran 	當然	c=1 d=1 t=28
dao 	到	c=2 d=1.85214 t=236
de 	得	c=1 d=1 t=4
de 	的	c=34 d=14.9861 t=408
di fang 	地方	c=1 d=1 t=400
dian 	點	c=1 d=1 t=262
dian ji 	點擊	c=1 d=1 t=7
dong xi 	東西	c=1 d=1.07334 t=186
dou 	都	c=6 d=4.01995 t=289
du che 	堵車	c=1 d=1 t=181
dui ying 	對應	c=1 d=1 t=241
duo 	多	c=6 d=2.66181 t=386
duo cai 	多彩	c=1 d=1 t=332
duo jiu 	多久	c=1 d=1 t=180
e si 	餓死	c=1 d=1 t=199
en 	嗯	c=1 d=1 t=201
er zi 	兒子	c=1 d=1 t=215
fa bu 	發佈	c=2 d=1.8825 t=86
fa xian 	發現	c=1 d=1 t=343
fan zheng 	反正	c=1 d=1 t=259
fei chang 	非常	c=1 d=1 t=407
feng fu 	豐富	c=1 d=1 t=331
feng jing 	風景	c=1 d=0.867206 t=276
gang 	剛	c=1 d=1 t=208
gao 	搞	c=1 d=1 t=353
gao 	高	c=1 d=1 t=53
ge 	個	c=1 d=1 t=359
ge zhong ge yang 	各種各樣	c=1 d=1 t=302
gen 	跟	c=1 d=1 t=337
gen ni 	跟你	c=0 d=0.1 t=320
geng 	更	c=1 d=1 t=32
gong zuo 	工作	c=2 d=1.46301 t=405
gui ze 	规则	c=1 d=1 t=135
guo bu qu 	過不去	c=1 d=1 t=334
guo lai 	過來	c=1 d=1 t=256
ha 	哈	c=2 d=1.74826 t=234
ha ha 	哈哈	c=7 d=5.01101 t=285
hai shi 	還是	c=1 d=1 t=393
hai zi 	孩子	c=1 d=1 t=160
hao 	好	c=0 d=0.151944 t=359
hao 	豪	c=2 d=1.28794 t=371
hao a 	好啊	c=1 d=1 t=372
hao chang 	好長	c=1 d=1 t=126
hao de 	好的	c=1 d=0.565334 t=276
hao de feng jing 	好的風景	c=1 d=1 t=277
hao ke ti 	好課題	c=1 d=1 t=360
hao lu xian 	好路線	c=1 d=1 t=229
he he 	呵呵	c=1 d=1 t=270
hen duo 	很多	c=1 d=1 t=395
hen zhong yao 	很重要	c=1 d=1 t=153
heng 	橫	c=1 d=1 t=255
hou 	後	c=3 d=2.50592 t=94
hou tai 	後臺	c=1 d=1 t=245
hui 	回	c=1 d=1 t=366
hui 	會	c=4 d=3.42859 t=82
hui jia 	回家	c=1 d=1 t=101
hui zai 	會在	c=1 d=1 t=177
huo 	或	c=1 d=1 t=63
huo che piao 	火车票	c=0 d=0.1 t=99
huo che zhan 	火車站	c=1 d=1 t=171
huo shao 	或少	c=1 d=1 t=65
ji dian 	幾點	c=1 d=1 t=202
ji hui 	機會	c=1 d=1 t=365
ji nian 	幾年	c=1 d=1 t=340
